,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1478,08/02/2021,05077,31,Lee County,AR,23.8,2109,2109,27.1,2095,29.0,1019,57.0,89.3,2672.0,30.2,2672.0,34.4,2610.0,36.1,1152.0,64.5,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
1479,08/02/2021,08007,31,Archuleta County,CO,29.6,4156,4148,33.4,3945,34.2,889,23.2,76.6,4397.0,31.3,4387.0,35.3,4146.0,35.9,937.0,24.4,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low VC/Low-Mod SVI
1480,08/02/2021,30053,31,Lincoln County,MT,27.7,5538,5538,31.2,5429,33.1,2913,49.4,95.5,6040.0,30.2,6040.0,34.0,5902.0,36.0,3103.0,52.6,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
1481,08/02/2021,48339,31,Montgomery County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Mod,,,,
1482,08/02/2021,47163,31,Sullivan County,TN,42.7,67645,67640,48.6,65774,51.3,26735,76.0,97.8,75306.0,47.6,75295.0,54.1,72711.0,56.7,28477.0,80.9,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
1483,08/02/2021,36073,31,Orleans County,NY,43.8,17661,17661,49.9,16905,51.9,5606,75.4,97.5,18757.0,46.5,18756.0,53.0,17890.0,55.0,5803.0,78.1,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
1484,08/02/2021,55039,31,Fond du Lac County,WI,43.6,45108,45107,50.5,43707,53.7,15988,81.4,97.0,48348.0,46.8,48346.0,54.1,46319.0,56.9,16358.0,83.2,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1485,08/02/2021,48071,31,Chambers County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Mod,,,,
1486,08/02/2021,12041,31,Gilchrist County,FL,24.3,4513,4513,28.0,4428,29.7,2190,57.1,98.6,5420.0,29.2,5420.0,33.6,5275.0,35.4,2486.0,64.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
1487,08/02/2021,04009,31,Graham County,AZ,45.2,17536,17535,54.9,17113,60.1,4865,89.4,97.5,19844.0,51.1,19840.0,62.1,19108.0,67.1,5258.0,96.7,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
